Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
B1,20/12/2000,Anderlecht,St Truiden,3,2,H,0,2,A,1.12,6.5,12,1.15,5.5,11,1.17,5.25,11,1.1,6.8,12
B1,20/12/2000,Antwerp,Westerlo,1,3,A,1,1,D,2.3,3.3,2.6,2.35,3,2.35,2.25,3.2,2.63,2.2,3.4,2.55
B1,20/12/2000,Charleroi,Beveren,5,0,H,3,0,H,1.65,3.6,4,1.6,3.3,4,1.62,3.5,4.33,1.65,3.55,4
B1,20/12/2000,Germinal,Mouscron,4,1,H,2,0,H,2.25,3.5,2.5,2.3,3.1,2.3,2.3,3.2,2.6,,,
B1,20/12/2000,Genk,Mechelen,3,1,H,1,0,H,1.55,3.6,4.7,1.5,3.4,4.7,1.57,3.5,4.75,1.65,3.6,3.9
B1,20/12/2000,Lierse,Aalst,2,0,H,2,0,H,1.45,3.5,7,1.45,3.5,5,1.44,3.75,5.75,1.45,3.75,5.5
B1,20/12/2000,Lokeren,Louvieroise,3,1,H,0,0,D,1.35,4,8,1.4,3.6,5.5,1.4,3.75,6.5,1.4,3.9,6
B1,20/12/2000,Standard,Harelbeke,3,0,H,1,0,H,1.15,6,12,1.2,4.7,9,1.2,5,10,1.15,6,10
B1,19/01/2001,Club Brugge,Mouscron,2,2,D,1,1,D,1.25,4.5,8.5,1.25,4.3,8,1.25,4.6,8.5,1.3,4.5,7
B1,20/01/2001,Beveren,Antwerp,2,1,H,2,1,H,2.05,2.9,3.2,2,2.9,3,2,3.4,2.9,2,3.5,2.9
B1,20/01/2001,Germinal,Lokeren,2,0,H,0,0,D,1.9,3.1,3.5,1.85,3,3.3,1.83,3.4,3.4,1.8,3.5,3.4
B1,20/01/2001,Mechelen,Gent,3,3,D,0,3,A,3.2,2.8,2.1,2.8,3,2.1,3.2,3.1,2,2.75,3.4,2.1
B1,20/01/2001,Louvieroise,Standard,0,4,A,0,2,A,4.2,3.3,1.65,3.6,3.2,1.7,3.8,3.4,1.73,3.8,3.5,1.7
B1,20/01/2001,Lierse,St Truiden,2,1,H,0,0,D,1.47,3.4,6,1.35,3.8,6.2,1.44,3.75,5.75,1.45,3.75,5.5
B1,21/01/2001,Aalst,Genk,4,2,H,1,2,A,2.3,3.2,2.6,2.35,3,2.35,2.38,3.2,2.5,2.35,3.3,2.45
B1,21/01/2001,Harelbeke,Charleroi,1,0,H,0,0,D,3.4,2.8,2.1,3.1,3,1.9,2.88,3.5,2,2.6,3.5,2.15
B1,27/01/2001,Gent,Aalst,1,0,H,1,0,H,1.35,4,7,1.35,3.8,6.2,1.36,4,6.75,1.35,4,7
B1,27/01/2001,Antwerp,Charleroi,1,1,D,1,0,H,2.18,3.35,2.65,2.2,3,2.6,2.2,3.4,2.6,2.25,3.4,2.5
B1,27/01/2001,Beveren,Anderlecht,1,3,A,0,2,A,4.8,3.6,1.55,4.2,3.2,1.6,4.5,3.6,1.57,4.6,3.65,1.55
B1,27/01/2001,Genk,St Truiden,3,0,H,0,0,D,1.55,3.6,4.75,1.55,3.3,4.5,1.57,3.5,4.75,1.55,3.6,4.7
B1,27/01/2001,Lierse,Westerlo,1,2,A,1,0,H,2,3.1,3.25,2,2.9,3,1.91,3.4,3.2,1.9,3.5,3.1
B1,27/01/2001,Lokeren,Club Brugge,2,2,D,2,1,H,4.2,3.5,1.65,3.9,3.2,1.65,4,3.2,1.75,3.6,3.1,1.83
B1,28/01/2001,Louvieroise,Harelbeke,0,2,A,0,1,A,2.05,3.3,2.95,2,3,2.9,2.1,3.3,2.8,2.1,3.4,2.75
B1,28/01/2001,Mouscron,Mechelen,4,2,H,0,1,A,1.35,4,7,1.3,4,7,1.4,3.8,6.25,1.4,4,6
B1,28/01/2001,Standard,Germinal,1,1,D,1,0,H,1.45,3.6,6,1.45,3.5,5,1.5,3.5,5.5,1.45,3.8,5.5
B1,02/02/2001,Charleroi,Anderlecht,0,4,A,0,1,A,3.55,3.25,1.85,3.5,3,1.8,3.5,3.4,1.8,3.4,3.5,1.8
B1,03/02/2001,Beveren,Lierse,2,1,H,0,1,A,2.2,3.2,2.75,2.35,3,2.35,2.2,3.25,2.7,2.2,3.4,2.6
B1,03/02/2001,Germinal,Louvieroise,3,1,H,1,0,H,1.3,4.3,7.5,1.25,4.3,8,1.33,4,7.5,1.35,4.4,6
B1,03/02/2001,Mechelen,Lokeren,0,3,A,0,3,A,2.6,3.2,2.3,2.6,3,2.2,2.4,3.4,2.38,2.35,3.5,2.35
B1,03/02/2001,St Truiden,Gent,0,1,A,0,1,A,2.9,3.2,2.1,2.9,2.9,2.1,2.9,3.3,2.05,2.85,3.5,2
B1,03/02/2001,Westerlo,Genk,5,0,H,2,0,H,1.7,3.2,4.3,1.6,3.3,4,1.67,3.4,4.2,1.6,3.65,4.2
B1,04/02/2001,Aalst,Mouscron,1,0,H,1,0,H,2.7,3.35,2.15,2.8,3,2.1,2.75,3.4,2.1,2.85,3.5,2
B1,04/02/2001,Club Brugge,Standard,1,1,D,0,0,D,1.5,3.5,5.5,1.55,3.3,4.5,1.57,3.5,4.75,1.61,3.6,4.33
B1,04/02/2001,Harelbeke,Antwerp,2,0,H,1,0,H,2.25,3.15,2.75,2.2,3,2.6,2.1,3.4,2.75,2.1,3.4,2.75
B1,09/02/2001,Anderlecht,Antwerp,2,0,H,1,0,H,1.15,6,11,1.15,5.5,11,1.17,5.5,10,1.15,6,10
B1,09/02/2001,Louvieroise,Club Brugge,1,1,D,0,0,D,6.65,4.2,1.35,6.2,3.8,1.35,6,4,1.4,6,3.9,1.4
B1,10/02/2001,Gent,Westerlo,3,1,H,2,1,H,1.85,3.25,3.55,1.9,3,3.1,1.83,3.4,3.4,1.85,3.5,3.2
B1,10/02/2001,Germinal,Harelbeke,2,1,H,0,0,D,1.42,3.85,6,1.45,3.5,5,1.5,3.75,5,1.5,3.9,4.7
B1,10/02/2001,Genk,Beveren,1,0,H,0,0,D,1.8,3.3,3.7,1.75,3.1,3.6,1.83,3.3,3.5,1.85,3.5,3.2
B1,10/02/2001,Lierse,Charleroi,2,0,H,1,0,H,1.85,3.2,3.65,1.7,3.1,3.8,1.85,3.4,3.3,1.85,3.5,3.2
B1,10/02/2001,Lokeren,Aalst,2,0,H,0,0,D,1.47,3.6,5.5,1.45,3.5,5,1.53,3.75,4.75,1.5,3.9,4.6
B1,10/02/2001,Mouscron,St Truiden,1,0,H,1,0,H,1.3,4.25,8,1.3,4,7,1.36,4,6.5,1.35,4.25,6.2
B1,11/02/2001,Standard,Mechelen,2,0,H,1,0,H,1.2,5,9.2,1.2,4.7,9,1.22,5,9,1.2,5.5,8
B1,16/02/2001,Westerlo,Mouscron,1,0,H,0,0,D,1.85,3.3,3.45,1.85,3,3.3,1.85,3.5,3.2,1.85,3.4,3.3
B1,17/02/2001,Antwerp,Lierse,0,0,D,0,0,D,2.25,3.15,2.7,2.2,3,2.6,2.3,3.3,2.5,2.3,3.4,2.45
B1,17/02/2001,Beveren,Gent,1,1,D,1,1,D,2.35,3.1,2.5,2.4,2.9,2.4,2.4,3.4,2.38,2.4,3.4,2.35
B1,17/02/2001,Charleroi,Genk,2,1,H,0,1,A,1.62,3.4,4.25,1.7,3.2,3.6,1.75,3.5,3.6,1.75,3.5,3.55
B1,17/02/2001,Mechelen,Louvieroise,0,0,D,0,0,D,1.77,3.35,3.75,1.75,3.1,3.6,1.75,3.4,3.75,1.75,3.5,3.55
B1,17/02/2001,St Truiden,Lokeren,2,0,H,1,0,H,2.6,3,2.35,2.35,3,2.35,2.63,3.3,2.2,2.65,3.4,2.15
B1,18/02/2001,Aalst,Standard,1,1,D,0,0,D,3.3,3.2,1.9,3.1,3,1.9,3.25,3.3,1.91,3.4,3.5,1.8
B1,18/02/2001,Club Brugge,Germinal,2,2,D,1,2,A,1.3,4.25,7,1.35,3.8,6.2,1.36,3.75,7.5,1.45,3.8,5.5
B1,18/02/2001,Harelbeke,Anderlecht,1,4,A,1,2,A,5.5,3.5,1.47,5.5,3.6,1.4,5,3.6,1.53,5,3.7,1.5
B1,24/02/2001,Gent,Club Brugge,0,2,A,0,0,D,2.7,3.1,2.35,2.35,3,2.35,2.4,3.3,2.4,2.7,3.3,2.2
B1,24/02/2001,Westerlo,Anderlecht,2,2,D,1,0,H,3.65,3.35,1.8,2.9,3,2,3.6,3.3,1.8,3.5,3.4,1.8
B1,03/03/2001,Gent,Charleroi,1,1,D,1,1,D,1.6,3.4,4.75,1.55,3.3,4.5,1.5,3.5,5.5,1.6,3.5,4.4
B1,03/03/2001,Germinal,Mechelen,4,1,H,2,0,H,1.37,4.15,7,1.35,3.8,6.2,1.36,3.75,7.5,1.35,4.1,6.5
B1,03/03/2001,Genk,Antwerp,1,1,D,0,1,A,1.7,3.35,4.15,1.75,3.1,3.6,1.7,3.4,4,1.65,3.5,4.1
B1,03/03/2001,Louvieroise,Aalst,3,0,H,0,0,D,2.35,3.2,2.6,2.35,3,2.35,2.3,3.3,2.5,2.3,3.35,2.45
B1,03/03/2001,Lierse,Anderlecht,0,0,D,0,0,D,3.75,3.2,1.82,3.8,3.1,1.7,3.75,3.4,1.75,3.8,3.5,1.72
B1,03/03/2001,Mouscron,Beveren,0,0,D,0,0,D,1.6,3.4,4.75,1.5,3.4,4.7,1.62,3.4,4.5,1.6,3.55,4.3
B1,03/03/2001,Standard,St Truiden,1,1,D,0,1,A,1.25,4.7,8.2,1.25,4.3,8,1.25,4.75,8,1.25,5,8
B1,04/03/2001,Club Brugge,Harelbeke,0,0,D,0,0,D,1.2,5.1,9.5,1.15,5.5,11,1.2,5,9.5,1.3,4.25,7.5
B1,04/03/2001,Lokeren,Westerlo,2,0,H,0,0,D,2.3,3,2.75,2.2,2.9,2.7,2.3,3.2,2.6,2.2,3.4,2.55
B1,09/03/2001,Westerlo,Standard,2,2,D,1,2,A,2.2,3.1,2.8,2.35,3,2.35,2.2,3.25,2.7,2.25,3.4,2.5
B1,10/03/2001,Anderlecht,Genk,1,0,H,1,0,H,1.2,5,10,1.2,4.7,9,1.2,5,9.5,1.2,5,9.5
B1,10/03/2001,Beveren,Lokeren,0,2,A,0,2,A,2.05,3.1,3.07,2.3,2.9,2.5,2.1,3.4,2.75,2.1,3.5,2.65
B1,10/03/2001,Charleroi,Mouscron,1,3,A,0,2,A,1.9,3.2,3.4,2.1,3,2.8,1.91,3.4,3.2,1.9,3.4,3.15
B1,10/03/2001,Mechelen,Club Brugge,1,1,D,1,1,D,5.7,3.7,1.45,4.7,3.4,1.5,5.5,3.5,1.5,4.75,3.8,1.5
B1,11/03/2001,Aalst,Germinal,2,0,H,1,0,H,2.6,3,2.4,2.35,3,2.35,2.5,3.3,2.3,2.55,3.3,2.25
B1,11/03/2001,Antwerp,Gent,1,0,H,0,0,D,2.55,3.1,2.4,2.35,3,2.35,2.4,3.4,2.38,2.5,3.4,2.25
B1,11/03/2001,Harelbeke,Lierse,1,0,H,0,0,D,2.5,3.05,2.45,2.35,3,2.35,2.4,3.3,2.4,2.25,3.4,2.5
B1,11/03/2001,St Truiden,Louvieroise,1,1,D,1,0,H,1.7,3.3,4.1,1.65,3.2,3.8,1.73,3.4,3.8,1.75,3.5,3.55
B1,17/03/2001,Gent,Anderlecht,2,1,H,0,0,D,3.1,3.15,2.05,2.6,3,2.2,3.1,3.2,2,3,3.4,2
B1,17/03/2001,Germinal,St Truiden,1,0,H,1,0,H,1.42,3.8,6.15,1.4,3.6,5.5,1.44,3.6,6,1.4,4,5.8
B1,17/03/2001,Genk,Lierse,2,0,H,0,0,D,2.1,3.05,3.1,2.1,3,2.8,2,3.3,3,1.95,3.4,3
B1,17/03/2001,Louvieroise,Westerlo,3,1,H,2,0,H,3.15,3.2,2,2.6,3,2.2,2.88,3.2,2.1,2.8,3.3,2.1
B1,17/03/2001,Lokeren,Charleroi,1,0,H,0,0,D,1.8,3.25,3.75,1.6,3.3,4,1.7,3.4,4,1.7,3.45,3.85
B1,17/03/2001,Mouscron,Antwerp,3,2,H,1,1,D,1.5,3.6,5.5,1.45,3.5,5,1.5,3.6,5.2,1.55,3.7,4.5
B1,17/03/2001,Standard,Beveren,4,2,H,2,2,D,1.4,3.9,6.3,1.3,4,7,1.4,3.6,7,1.4,3.7,6.5
B1,18/03/2001,Club Brugge,Aalst,1,1,D,0,1,A,1.22,5,9,1.2,4.7,9,1.3,4.2,8,1.3,4.1,8
B1,18/03/2001,Mechelen,Harelbeke,2,0,H,1,0,H,2.25,3,2.85,2.1,2.9,2.9,2.38,3.2,2.5,2.4,3.3,2.4
B1,30/03/2001,Anderlecht,Mouscron,3,3,D,3,2,H,1.32,4.3,7.5,1.25,4.3,8,1.29,4.33,8,1.35,4,6.75
B1,31/03/2001,Antwerp,Lokeren,2,1,H,0,0,D,2.4,3.1,2.6,2.3,2.9,2.5,2.4,3.2,2.5,2.3,3.3,2.5
B1,31/03/2001,Lierse,Gent,2,0,H,0,0,D,2.3,3,2.85,2.2,2.9,2.7,2.3,3.2,2.6,2.3,3.3,2.5
B1,31/03/2001,St Truiden,Club Brugge,1,2,A,1,1,D,4.35,3.3,1.7,4.7,3.4,1.5,4.33,3.3,1.67,4.4,3.1,1.7
B1,31/03/2001,Westerlo,Germinal,1,2,A,0,1,A,2,3.15,3.3,1.9,2.9,3.2,1.91,3.3,3.25,1.9,3.4,3.15
B1,01/04/2001,Aalst,Mechelen,1,3,A,0,3,A,1.7,3.35,4.3,1.75,3.1,3.6,1.7,3.4,4,1.65,3.5,4.1
B1,01/04/2001,Beveren,Louvieroise,0,1,A,0,1,A,1.7,3.35,4.3,1.7,3.1,3.8,1.7,3.5,3.8,1.7,3.4,3.9
B1,01/04/2001,Charleroi,Standard,2,3,A,1,0,H,2.55,3,2.5,2.35,3,2.35,2.5,3.2,2.4,2.5,3.2,2.35
B1,01/04/2001,Harelbeke,Genk,1,2,A,0,1,A,2.2,3.1,2.9,2.2,2.9,2.7,2.2,3.2,2.75,2.15,3.3,2.7
B1,06/04/2001,Louvieroise,Charleroi,1,1,D,0,1,A,2,3.2,3.2,1.9,3,3.1,2.2,3.25,2.7,2.2,3.3,2.65
B1,07/04/2001,Gent,Genk,2,1,H,0,0,D,1.55,3.5,5.2,1.45,3.5,5,1.5,3.6,5.25,1.6,3.5,4.4
B1,07/04/2001,Aalst,Harelbeke,0,0,D,0,0,D,1.85,3.1,3.85,1.75,3.1,3.6,1.85,3.25,3.5,1.85,3.4,3.3
B1,07/04/2001,Club Brugge,Westerlo,2,2,D,1,0,H,1.42,3.8,6.5,1.4,3.6,5.5,1.44,3.6,6,1.45,3.55,6
B1,07/04/2001,Germinal,Beveren,2,0,H,1,0,H,1.5,3.6,5.6,1.45,3.5,5,1.5,3.5,5.5,1.5,3.7,5
B1,07/04/2001,Mechelen,St Truiden,1,2,A,1,1,D,1.85,3.1,3.85,1.75,3.1,3.6,1.83,3.3,3.5,1.75,3.45,3.65
B1,07/04/2001,Lokeren,Anderlecht,0,0,D,0,0,D,3.25,3.05,2.05,2.7,2.9,2.2,3.25,3.2,1.95,3.35,3.35,1.85
B1,07/04/2001,Mouscron,Lierse,1,2,A,0,0,D,1.72,3.3,4.2,1.55,3.3,4.5,1.67,3.3,4.33,1.7,3.45,3.85
B1,07/04/2001,Standard,Antwerp,0,1,A,0,1,A,1.35,4.1,7.2,1.3,4,7,1.36,3.75,7.5,1.4,3.75,6.5
B1,13/04/2001,Anderlecht,Standard,0,0,D,0,0,D,1.45,3.75,6,1.45,3.5,5,1.5,3.6,5.5,1.55,3.55,4.75
B1,14/04/2001,Antwerp,Louvieroise,1,1,D,1,0,H,1.67,3.4,4.35,1.75,3.1,3.6,1.8,3.5,3.5,1.75,3.5,3.6
B1,14/04/2001,Beveren,Club Brugge,0,2,A,0,1,A,4,3.25,1.77,4.2,3.2,1.6,4.5,3.3,1.67,4.4,3.3,1.65
B1,14/04/2001,Charleroi,Germinal,2,1,H,0,1,A,2.2,3,2.98,2.2,2.9,2.7,2.25,3.2,2.7,2.3,3.25,2.5
B1,14/04/2001,Genk,Mouscron,4,0,H,2,0,H,2.25,3,2.9,2.2,2.9,2.7,2.2,3.3,2.7,2.15,3.4,2.65
B1,14/04/2001,Harelbeke,Gent,2,1,H,0,0,D,2.7,3.15,2.32,2.7,2.9,2.2,2.5,3.2,2.4,2.2,3.4,2.55
B1,14/04/2001,Lierse,Lokeren,1,4,A,1,2,A,1.92,3.15,3.55,2.1,2.9,2.9,1.85,3.4,3.4,1.85,3.4,3.3
B1,14/04/2001,St Truiden,Aalst,1,0,H,1,0,H,1.97,3.15,3.35,2,2.9,3,2,3.25,3.1,2,3.4,2.9
B1,14/04/2001,Westerlo,Mechelen,0,0,D,0,0,D,1.48,3.75,5.4,1.45,3.5,5,1.62,3.5,4.5,1.55,3.7,4.5
B1,20/04/2001,Louvieroise,Anderlecht,0,1,A,0,0,D,4.75,3.5,1.6,3.9,3.2,1.65,5,3.4,1.57,,,
B1,21/04/2001,Mechelen,Beveren,2,2,D,1,0,H,1.95,3.25,3.3,1.75,3.1,3.6,1.85,3.4,3.4,1.95,3.3,3.1
B1,21/04/2001,Lokeren,Genk,2,2,D,0,1,A,1.68,3.3,4.45,1.5,3.4,4.7,1.7,3.4,4,1.65,3.5,4.1
B1,21/04/2001,Mouscron,Gent,2,2,D,1,0,H,2.05,3.2,3.15,2.1,2.9,2.9,1.95,3.3,3.1,2.2,3.3,2.65
B1,21/04/2001,St Truiden,Harelbeke,1,1,D,0,0,D,1.97,3.15,3.35,1.9,2.9,3.2,1.95,3.2,3.25,1.9,3.4,3.15
B1,21/04/2001,Standard,Lierse,3,2,H,1,0,H,1.55,3.5,5.25,1.5,3.4,4.7,1.44,3.75,5.75,1.5,3.7,5
B1,22/04/2001,Aalst,Westerlo,1,2,A,1,1,D,2.45,3,2.62,2.3,3,2.4,2.25,3.3,2.6,2.3,3.3,2.5
B1,22/04/2001,Club Brugge,Charleroi,1,0,H,0,0,D,1.3,4.4,7.7,1.3,4,7,1.3,4.33,8,1.35,3.9,7
B1,22/04/2001,Germinal,Antwerp,3,1,H,2,0,H,1.7,3.45,4.2,1.65,3.2,3.9,1.8,3.4,3.5,1.65,3.4,4.2
B1,28/04/2001,Gent,Lokeren,3,2,H,1,2,A,1.7,3.4,4.1,1.8,3,3.5,1.7,3.4,4,1.75,3.45,3.7
B1,28/04/2001,Anderlecht,Germinal,7,0,H,3,0,H,1.37,4.05,7,1.4,3.6,5.5,1.36,3.8,7,1.44,3.75,6
B1,28/04/2001,Beveren,Aalst,1,0,H,0,0,D,2,3.2,3.25,2.2,3,2.6,2,3.5,2.88,1.9,3.4,3.2
B1,28/04/2001,Charleroi,Mechelen,4,1,H,1,0,H,1.65,3.5,4.25,1.65,3.3,3.7,1.7,3.4,4,1.7,3.35,4
B1,28/04/2001,Genk,Standard,2,2,D,1,2,A,2.55,3.1,2.5,2.35,3,2.35,2.6,3.2,2.3,2.45,3.3,2.35
B1,28/04/2001,Lierse,Louvieroise,1,2,A,0,1,A,1.65,3.5,4.2,1.6,3.3,4,1.73,3.4,3.8,1.7,3.4,3.9
B1,28/04/2001,Westerlo,St Truiden,4,6,A,3,1,H,1.65,3.35,4.65,1.55,3.4,4.2,1.67,3.5,4,1.7,3.35,4
B1,29/04/2001,Antwerp,Club Brugge,0,1,A,0,0,D,4.25,3.35,1.7,4,3.3,1.6,4.2,3.4,1.67,4.1,3.5,1.65
B1,29/04/2001,Harelbeke,Mouscron,0,1,A,0,0,D,2.2,3.25,2.85,2.1,3.1,2.7,2.1,3.4,2.75,1.8,3.45,3.4
B1,04/05/2001,Mechelen,Antwerp,0,3,A,0,1,A,2.02,3.2,3.15,1.75,3.3,3.4,2,3.4,2.9,2,3.5,2.85
B1,05/05/2001,Club Brugge,Anderlecht,0,1,A,0,1,A,2.27,3,2.9,2.2,3,2.6,2.2,3.2,2.8,2.2,3.25,2.75
B1,05/05/2001,Germinal,Lierse,6,0,H,1,0,H,1.57,3.5,4.7,1.55,3.3,4.5,1.57,3.5,4.6,1.6,3.5,4.4
B1,05/05/2001,Louvieroise,Genk,2,1,H,1,0,H,1.8,3.35,3.65,1.75,3.1,3.6,1.75,3.5,3.6,1.8,3.5,3.35
B1,05/05/2001,Lokeren,Mouscron,2,1,H,2,0,H,1.91,3.1,3.45,2,3,2.9,1.91,3.3,3.2,1.85,3.5,3.2
B1,05/05/2001,St Truiden,Beveren,1,0,H,1,0,H,1.7,3.45,4,1.7,3.1,3.8,1.7,3.4,4,1.7,3.5,3.8
B1,05/05/2001,Standard,Gent,1,0,H,0,0,D,1.72,3.35,4.1,1.85,3,3.3,1.75,3.5,3.6,1.7,3.5,3.8
B1,06/05/2001,Aalst,Charleroi,4,0,H,4,0,H,1.97,3.2,3.25,1.85,3.1,3.2,1.91,3.4,3.2,1.9,3.45,3.1
B1,06/05/2001,Westerlo,Harelbeke,1,0,H,0,0,D,1.75,3.45,3.8,1.85,3.1,3.2,1.83,3.5,3.25,1.85,3.5,3.2
B1,12/05/2001,Gent,Louvieroise,2,2,D,0,2,A,1.6,3.75,4.25,1.55,3.4,4.2,1.7,3.25,4,1.7,3.5,3.8
B1,12/05/2001,Anderlecht,Mechelen,1,0,H,1,0,H,1.1,6.75,13,1.1,7,14,1.1,6.5,12,1.1,7,12
B1,12/05/2001,Antwerp,Aalst,0,0,D,0,0,D,2.05,3.35,2.97,1.9,3.2,2.9,2.1,3.25,2.75,2.05,3.4,2.8
B1,12/05/2001,Beveren,Westerlo,1,4,A,0,1,A,2.5,3.15,2.45,2.6,3,2.2,2.4,3.2,2.4,2.45,3.3,2.35
B1,12/05/2001,Charleroi,St Truiden,1,7,A,0,2,A,1.85,3.25,3.5,1.75,3.3,3.3,1.9,3.1,3.4,2.05,2.9,3.25
B1,12/05/2001,Genk,Germinal,2,0,H,2,0,H,2.45,3.05,2.55,2.2,3,2.6,2.4,3.25,2.4,2.4,3.3,2.4
B1,12/05/2001,Lierse,Club Brugge,0,2,A,0,1,A,3.4,3.25,1.9,3.1,3,1.9,3.4,3.25,1.85,3.5,3.35,1.8
B1,12/05/2001,Lokeren,Harelbeke,3,0,H,2,0,H,1.73,3.7,3.5,1.6,3.4,3.6,1.8,3.6,3.2,1.8,3.55,3.3
B1,12/05/2001,Mouscron,Standard,1,1,D,1,1,D,2.5,3.15,2.45,2.2,3,2.6,2.6,3.1,2.3,2.55,3.3,2.25
B1,19/05/2001,Louvieroise,Mouscron,1,3,A,1,2,A,2.35,3.05,2.7,,,,,,,2.1,3.3,2.8
B1,20/05/2001,Aalst,Anderlecht,1,5,A,1,3,A,3.85,3.3,1.8,3.7,3.3,1.65,,,,3.35,3.5,1.8
B1,20/05/2001,Club Brugge,Genk,6,0,H,1,0,H,1.35,4.2,7,1.35,3.8,6.2,,,,1.35,4.1,6.5
B1,20/05/2001,Germinal,Gent,1,3,A,1,1,D,1.88,3.25,3.5,1.8,3.1,3.4,1.85,3.5,3.2,1.8,3.4,3.45
B1,20/05/2001,Harelbeke,Beveren,3,2,H,1,0,H,2.2,3.1,2.9,,,,,,,2.05,3.4,2.8
B1,20/05/2001,Mechelen,Lierse,1,1,D,1,1,D,2.52,3.1,2.47,,,,,,,2.4,3.4,2.35
B1,20/05/2001,St Truiden,Antwerp,1,1,D,0,1,A,1.97,3.15,3.35,,,,,,,1.7,3.6,3.7
B1,20/05/2001,Standard,Lokeren,1,3,A,1,1,D,1.65,3.45,4.35,1.75,3.3,3.3,1.7,3.6,3.6,1.6,3.5,4.4
B1,20/05/2001,Westerlo,Charleroi,0,1,A,0,0,D,1.66,3.5,4.3,,,,1.57,3.6,4.33,1.5,3.7,5
